episode,reward
0,0.026
200,-0.034
400,-0.018
600,0.058
800,-0.004
1000,-0.046
1200,0.03
1400,-0.042
1600,-0.038
1800,0.046
2000,-0.006
2200,0.058
2400,-0.008
2600,0.0
2800,0.01
3000,-0.012
3200,0.028
3400,0.002
3600,0.044
3800,-0.006
4000,0.004
4200,0.06
4400,0.04
4600,0.042
4800,0.05
5000,0.032
5200,-0.03
5400,-0.034
5600,0.072
5800,0.024
6000,0.05
6200,-0.01
6400,0.078
6600,0.01
6800,0.048
7000,-0.014
7200,0.036
7400,-0.02
7600,0.028
7800,0.058
8000,-0.066
8200,-0.01
8400,0.044
8600,-0.046
8800,0.006
9000,0.074
9200,-0.006
9400,0.048
9600,0.04
9800,0.046
